,username,tweets,hashtags,retweets,mentions
0,Actor_Siddharth,"Sibi, Krithika, Kalpana, Deeraj, Sananth, Satish, kola, avinash, rishi, Shankar, nijay & countless faceless volunteers... Thank you chellams",,176,
1,Actor_Siddharth,Touched by the thankless passion shown by #manamadraskosam God bless you @RanaDaggubati &amp; @pnavdeep26 #Chennai and #Cuddalore love you.,#manamadraskosam #Chennai #Cuddalore,275,@RanaDaggubati @pnavdeep26
2,Actor_Siddharth,Support continues to pour in from the common man...perumaiya irukku...Thank you for supporting #Chennai help pannikite irunga. @RJ_Balaji,#Chennai,442,@RJ_Balaji
3,Actor_Siddharth,#JilJungJuk release is postponed. We will not be able to meet you in cinemas this year. Let's all get well first. See you next year. Thanks.,#JilJungJuk,885,
4,Actor_Siddharth,Happy birthday @arya_offl Have a great year machi! God bless:),,113,@arya_offl
5,Actor_Siddharth,"Adoor Akaram, Kooduveli, Thirunaraiyur, Edaiyar, Boothampadi, Kalunam, Agijamangalam villages in #Cuddalore (cont) http://tl.gd/n_1so0t3e",#Cuddalore,133,
6,Actor_Siddharth,We have compiled a detailed report on #Cuddalore It will hopefully help all of us understand and help #Cuddalore district better. Tomorrow.,#Cuddalore #Cuddalore,294,
7,Actor_Siddharth,Important Announcement. #ChennaiMicro Next course of action. @RJ_Balaji,#ChennaiMicro,1357,@RJ_Balaji
8,Actor_Siddharth,Sitting with @RJ_Balaji and meeting #ChennaiMicro rehabilitation partners. Will make all our announcements through social media tonight.,#ChennaiMicro,565,@RJ_Balaji
9,Actor_Siddharth,Please - do not send overseas funds for #ChennaiMicro to #Vtrust That's for domestic funding only. We will post a new A/C for overseas soon.,#ChennaiMicro #Vtrust,301,
10,Actor_Siddharth,Any overseas donations to #ChennaiMicro through V Trust will be reversed. Will post new International a/c info to send foreign funds soon.,#ChennaiMicro,252,
11,Actor_Siddharth,"V Trust account is for India donations to #ChennaiMicro People looking to send funds from abroad, we will post FCRA registered a/c today.",#ChennaiMicro,404,
12,Actor_Siddharth,We are personally handling over 20 trucks to Cuddalore. Breaking them up into small loads. Targeting worst affected first. Rest assured.,,735,
13,Actor_Siddharth,Posting details of villages that need supplies in #Cuddalore. Will also pass on storing locations to send supplies to volunteers there.,#Cuddalore,549,
14,Actor_Siddharth,@RJ_Balaji and I are regrouping to figure out the best way forward for #ChennaiMicro Rehabilitation &amp; long term impact is the focus.,#ChennaiMicro,432,@RJ_Balaji
15,Actor_Siddharth,I said cuddalore needs help. It's just not the disaster zone people are making it out to be. We have an (cont) http://tl.gd/n_1so0fq1,,297,
16,Actor_Siddharth,"Back from Cuddalore. Learnings. 1.Send bedding and blankets, Mosquito (cont) http://tl.gd/n_1so0fnc",,801,
17,Actor_Siddharth,"Food is not the priority. Water is receding. Life is returning to normal. Donate bedsheets, candles, insect repellent, water. #chennaimicro",#chennaimicro,2027,
18,Actor_Siddharth,Please form your own teams collect items and head to relief areas yourself if possible. We are already operating at full capacity. Do it!,,417,
19,Actor_Siddharth,"AGS stock center is full. Use Hyatt Regency Teynampet, Christian king school tambaram or big fm office for drops. #chennaimicro @RJ_Balaji",#chennaimicro,392,@RJ_Balaji
