,username,tweets,hashtags,retweets,mentions
0,ArchanaArchuu,@b96e5c79c695409 That's great Thanks @Actorjiiva,,0,@ActorJiiva
1,ArchanaArchuu,@raajarahman Welcome ,,0,@raajarahman
2,ArchanaArchuu,@Harriish69 thanks ,,0,@Harriish69
3,ArchanaArchuu,@binurasa Thank you !! @Gauthmi,,0,@binurasa @Gauthmi
4,ArchanaArchuu,@nagulsaravanan7 Sure thanks!!,,0,@nagulsaravanan7
5,ArchanaArchuu,@navi_n தைரியம் சொன்னதிற்கு ரொம்ப நன்றி ,,0,@navi_n
6,ArchanaArchuu,@Im_KmR thank you !!,,0,@im_kmr
7,ArchanaArchuu,@bala_singer that's so nice of you to mention me my friend Thank you Bala !! @MentionTo,,0,@Bala_singer @MentionTo
8,ArchanaArchuu,@sheikdaewood Thank you so much Sheik ,,0,@sheikdaewood
9,ArchanaArchuu,@kjsurya thanks ,,0,@kjsurya
10,ArchanaArchuu, oh no .... that scares me.... Just kidding ,,2,
11,ArchanaArchuu,@ShamlaFathi @pattinaththaar oh apdiya ,,0,@shamlafathi
12,ArchanaArchuu,@pattinaththaar உண்மை தான் ,,0,
13,ArchanaArchuu,@ramcharankarthi Thanks @Actorjiiva,,0,@ramcharankarthi @ActorJiiva
14,ArchanaArchuu,@shameer1112004 thank you ,,0,@shameer1112004
15,ArchanaArchuu,Thanks Let's do it ,,0,
16,ArchanaArchuu,@tweet_to_yuvi Yes well said !,,0,@tweet_to_yuvi
17,ArchanaArchuu,@Johnsonindia2 nadaimuraiku konjam per vantha kuda santhoshamey .... Thanks!,,0,
18,ArchanaArchuu,@kvsundar நன்றி ,,0,@kvsundar
19,ArchanaArchuu,@thamizha0101 Thanks ,,1,
20,ArchanaArchuu, thanks !!,,0,
21,ArchanaArchuu, @ChennaiRainsH,,1,
22,ArchanaArchuu,@589Yk Thanks bro @ashwinravi99,,0,@589Yk @ashwinravi99
23,ArchanaArchuu,Wow....really ......So happy to know . Thanks a lot for letting me know @pattinaththaar,,4,
24,ArchanaArchuu,@Amyi_ua அப்படி....அப்படியேதான் ,,0,
25,ArchanaArchuu,@SatzTwits நன்றி!!,,0,@SatzTwits
26,ArchanaArchuu,@GaneshK2410 thanks for your encouraging words ,,0,
27,ArchanaArchuu,@MoganeshP sure will do,,0,@MoganeshP
