,username,tweets,hashtags,retweets,mentions
0,RJ_Balaji,And finally @Actor_Siddharth what Can I say bout you. You are the best .Hats off to all your noble thoughts and deeds. U r an inspiration.,,476,@Actor_Siddharth
1,RJ_Balaji,@sujithkumar13 you played a very critical role in taking #ChennaiMicro to the next level. Dunno what I will do witout u. Thank u Sujith.,#ChennaiMicro,28,@sujithkumar13
2,RJ_Balaji,"@archanakalpathi U got #ChennaiMicro all that we wanted and made sure everything reached safe. U organized d impossible things, Thank you.",#ChennaiMicro,32,@archanakalpathi
3,RJ_Balaji,@AnjanaVJ and @moulistic you guys were a perfect team.U guys reached more ppl than most of us thro ur selfless efforts in #ChennaiMicro,#ChennaiMicro,61,@AnjanaVJ @moulistic
4,RJ_Balaji,@Chinmayi we can't thank u enough for all d hardwork and initiatives that u did fr #ChenniMicro. U r an integral part of all the good work.,#ChenniMicro,82,@Chinmayi
5,RJ_Balaji,Thank u @VigneshhShivan fr being a pillar of strength in #ChenniMicro . U worked really hard n lead volunteers as a true selfless leader.,#ChenniMicro,145,@vigneshhshivan
6,RJ_Balaji,Still not able to beleive this nor d unimaginable support and trust in #ChennaiMicro . Humbled. Thank you.,#ChennaiMicro,315,
7,RJ_Balaji,"Exactly d sameday last year, Kavya got a heart donor. This year it s #ChennaiMicro. World is beautiful when we stop reacting n start acting.",#ChennaiMicro,374,
8,RJ_Balaji,"Guber,muthu,vaithi,kandhan, kamaraj,sabari,saravanan n thousands of thambigal who volunteered r d real heroes.U ppl r d best. Love u all.",,428,
9,RJ_Balaji,Tired. Thoonganum nalla. Romba naal aachu. Goodnite.,,444,
10,RJ_Balaji,"There is so much expected out of #ChennaiMicro ,which we never expected. Inspired. We r putting our heart n soul in meetin tat expectations.",#ChennaiMicro,349,
11,RJ_Balaji,Important announcement. #ChennaiMicro next course of action. @Actor_Siddharth,#ChennaiMicro,1700,@Actor_Siddharth
12,RJ_Balaji,Any overseas donations to #ChennaiMicro through V Trust will be reversed. Will post new International a/c info to send foreign funds soon.,#ChennaiMicro,267,
13,RJ_Balaji,"V Trust account is for India donations to #ChennaiMicro People looking to send funds from abroad, we will post FCRA registered a/c today.",#ChennaiMicro,354,
14,RJ_Balaji,"@Actor_Siddharth and I will make an important announcement on our rehabilitation projects, tomorrow. #ChennaiMicro is here to stay.",#ChennaiMicro,376,@Actor_Siddharth
15,RJ_Balaji,We know #ChennaiMicro rehabilitation projects r goin to b tough.Bt not impossible.We promise tat we wil do this.Not alone.Wit each one of u.,#ChennaiMicro,580,
16,RJ_Balaji,#ChennaiMicro rehabilitation planning is on full swing. Partnering wit NGOs/Hospitals/Environmentalists to take foward multiple projects.,#ChennaiMicro,602,
17,RJ_Balaji,"If u had provided food n volunteered fr distribution fr few na,super.But our work is not over yet.Plz keep d spirit goin.We av loads to do.",,371,
18,RJ_Balaji,"Volunteering fr our rehab work in Chennai n Cuddalore,Ppl from any part of TN can whatsapp ur name n area wit #ChennaiMicro to 90431 32911.",#ChennaiMicro,532,
19,RJ_Balaji,"Those who want to volunteer in our rehabilitation work, whatsapp ur name n area wit #ChennaiMicro to 90431 32911. Plz dont cal.We wil cal u.",#ChennaiMicro,924,
20,RJ_Balaji,#ChennaiMicro Rehabilitation works started.Planning for some important measures.Will work with each one of you in every step forward.,#ChennaiMicro,497,
21,RJ_Balaji,Plz dont send any goods and volunteers to any of d centers including big fm.We r not loading n distributing.,,524,
22,RJ_Balaji,@Actor_Siddharth is in Cuddalore coverin all the villages wit local volunteers.He s reaching out to those who r difficult to reach.,,336,@Actor_Siddharth
23,RJ_Balaji,Cuddalore.Don't send large trucks.Send smal trucks wit local teams.Thr's risk of highway blockin n stealing by those who already av supplies,,558,
24,RJ_Balaji,"Tday in Cuddalore we r coverin melbuvanikuppam,kizhbuvanikuppam,thirthanagiri, sethiyathoppu,karuverpambadi, sambareddipalayam, sirupalaiyur",,404,
25,RJ_Balaji,"5 days. Goosebumps. This s made possible only cos we r together. So inspiring. If we love what we do for others,nothing is impossible.",,752,
26,RJ_Balaji,"Not only tat, we will also activate local volunteer groups in cuddalore to distribute supplies that are in need for next four days.",,268,
27,RJ_Balaji,Tomorrow Siddarth is covering all the villages across 100 km radius around Cuddalore. Will supply d essentials thre.,,712,
28,RJ_Balaji,We r not loading and unloading any stocks in any of our 5 centres tomorrow. Plz dont drop anything.Better future is priority now.,,249,
29,RJ_Balaji,@Chinmayi @VigneshhShivan @AnjanaVJ @_satired u guys were great.the core team. Witout u things will not b d same.! U were leading frm front.,,135,@Chinmayi @vigneshhshivan @AnjanaVJ @_satired
30,RJ_Balaji,"@dhanushkraja Thank u. The trust ppl had in me, @Actor_Siddharth n all youngsters made this possible.",,197,@dhanushkraja @Actor_Siddharth
31,RJ_Balaji,"Spoke to Siddarth who is in Cuddalore.He says 'Cuddalore is almost back to normal.Dont believe rumours, ppl are getting enough supply'.",,1628,
32,RJ_Balaji,"Right frm medical camps, rebuilding infrastructure,creating livelihood and fulfilling longterm needs r rehabilitation plans of #ChennaiMicro",#ChennaiMicro,480,
