,username,tweets,hashtags,retweets,mentions
0,TMManiac,#23தெறி_தளபதிவருடங்கள் 1996 - #Pooveunakaaga 2000- #Kushi 2004- #Gilli 2012- #Thuppakki 2014- #Kaththi 2016*- #Theri,#23 #Pooveunakaaga #Kushi #Gilli #Thuppakki #Kaththi #Theri,0,
1,TMManiac,#23தெறி_தளபதிவருடங்கள் all huge hits of #Thalapathy were from years in even nos ! Strongly believe #Theri will join the list !!!,#23 #Thalapathy #Theri,2,
2,TMManiac,"Oru area councillor mela case poda mudiyathu for a good cause , but onnukumae opperatha matterkellam case ah #Justthink",#Justthink,0,
3,TMManiac,Yabba dai naatla evalovo prechana iruku ! Athela vitrunga ! Athelam vittutu Official ah release Agatha paatla case podaraanunga ! #Think,#Think,0,
4,TMManiac,#Visaaranai censored and given U/A .. Releasing on Dec 31!,#Visaaranai,1,
5,TMManiac,@RBSIRAJINI @RajiniFC @RajiniFollowers #HBDSuperstarRajinikanth 12 hours left ! Vote &amp; RT pls!,#HBDSuperstarRajinikanth,0,@RBSIRAJINI @RajiniFC @RajiniFollowers
6,TMManiac,#Chennaiheroes,#Chennaiheroes,0,
7,TMManiac,#Enthiran2 : Seems motive is to beat Baahubali rather than strengthening t script ! Good content or screen play doesn't require megastars!!!,#Enthiran2,1,
8,TMManiac,#Enthiran2 : So no Arnold ! Now looking for big bollywood star! Y dont u try KH Sir or 4 big next gen tamil stars instead !?! Just asking!!!,#Enthiran2,1,
9,TMManiac,#Chennaiheroes Hats off !!,#Chennaiheroes,0,
10,TMManiac,#ThangamaganTrailer nearing 1.5M views with 22k likes !!,#ThangamaganTrailer,0,
11,TMManiac,#Eetti : Best opening for #Atharvaamurali .. Wom is also good.. Hope it will end as his best at overall BO too..,#Eetti #Atharvaamurali,2,
12,TMManiac,Latest buzz is that #Visaaranai releasing on Dec31,#Visaaranai,1,
13,TMManiac,@CcInfilmin can u follow and DM me bro ?!,,0,@CcInfilmin
14,TMManiac,@akshaykm14793 overall theatrical of two films !? Heard it was sold for 14 crs in OS..,,0,
15,TMManiac,@akshaykm14793 k wat bout rights of both movies ?!,,0,
16,TMManiac,@akshaykm14793 share wise also Kaththi will be ahead by 2 or 3cr but I think its theatrical was sold 7-8cr higher than vedalam(51) Kath(~58),,0,
17,TMManiac,@akshaykm14793 also check weekwise data for kaththi.. U will get to know that.. It was well known conflict ..,,0,
18,TMManiac,@akshaykm14793 taken from TBO!? They have manipulated kaththi's bro.. They reduced in TN and increased in OS.. Check its closing gross..,,0,
19,TMManiac,@akshaykm14793 there won't be any official release for AMR releases.. So nothing we get from arguing bro.. Leave it..,,0,
20,TMManiac,@akshaykm14793 But unarguably kaththi is very much ahead WW.. KL & KA gross Helped it..,,0,
21,TMManiac,"@akshaykm14793 dono bro.. Considering no of screens, opening , holding and trend.. It will be very slightly ahead in TN. Not much..",,0,
22,TMManiac,@akshaykm14793 it might be ahead in Chennai zone..,,0,
23,TMManiac,@akshaykm14793 yes no arguments.. I>>Kaththi in all regions..,,0,
24,TMManiac,@akshaykm14793 kaththi done 24Cr in ROI & 35 in OS.. But as of now vedalam 17 & 33 respectively..,,0,
25,TMManiac,@akshaykm14793 ya.. Same.. Vedalam little ahead only in TN.,,0,
26,TMManiac,@akshaykm14793 I is ahead by gross.. Not by share..,,0,
27,TMManiac,@akshaykm14793 I'm not estimating of my own.. But taking out from all these sources.. I know who is overestimating or underestimating,,0,
28,TMManiac,@akshaykm14793 I u doubt ABO then check TBO..,,0,
29,TMManiac,@akshaykm14793 agreed Lingaa made only around 45.. I have been following more than 6 sources.. Many overestimated vedalam..,,0,
30,TMManiac,"@akshaykm14793 can u check its Enthiran, kaththi thuppaki I WW gross.. +/- 5% variation with TBO.. And their share calc is lower than TBO..",,0,
31,TMManiac,@gkrishnan937 facts and stats should not be faked thats my point.. No matter who the hero is..,,0,@gkrishnan937
32,TMManiac,"@akshaykm14793 nope.. Check Tbo , abo , IMS .. U will get some idea.. IMS would be overestimate..",,0,
33,TMManiac,"@akshaykm14793 @itssaicharan gradual dip after 2 weeks.. Since no big releases affected its run.. Going well in kovai, mdu & Salem areas",,0,
34,TMManiac,@akshaykm14793 @itssaicharan first wk 48 bro next wk +15 - 63 3rd wk- +7 70 4th wk - +4 74 will end with 75.. No gud movies.. Holding well!,,0,
35,TMManiac,@akshaykm14793 @itssaicharan will end #4 WW most probly below #Enthiran #I &amp; #Kaththi,#Enthiran #I #Kaththi,0,
36,TMManiac,@akshaykm14793 @itssaicharan opening 1st wknd WW aprx gross 86(48+26.5+11.5) 2: 107(63+30.5+13.5) 3: 117 (70+32+15.5) 4: 123 (74+33+16.5),,0,
37,TMManiac,@akshaykm14793 @itssaicharan no I mean it was total 13 days coln..,,0,
38,TMManiac,@akshaykm14793 @itssaicharan I think it was 2nd wkend gross!,,0,
39,TMManiac,#HBDSuperstarRajinikanth Poll 3 Ur pick from Thalaivar - SureshKrishna Combo! @RBSIRAJINI @RajiniFC @RajiniFollowers,#HBDSuperstarRajinikanth,1,@RBSIRAJINI @RajiniFC @RajiniFollowers
40,TMManiac,#HBDSuperstarRajinikanth Poll 2 Ur pick from Thalaivar - KSR Combo ! @RBSIRAJINI @RajiniFC @RajiniFollowers,#HBDSuperstarRajinikanth,0,@RBSIRAJINI @RajiniFC @RajiniFollowers
41,TMManiac,#HBDSuperstarRajinikanth Poll 1 Ur pick from Thalaivar - Sankar Combo ! @RBSIRAJINI @RajiniFC @RajiniFollowers,#HBDSuperstarRajinikanth,0,@RBSIRAJINI @RajiniFC @RajiniFollowers
42,TMManiac,@gkrishnan937 share would be around 160.. Not 150+..,,0,@gkrishnan937
43,TMManiac,@gkrishnan937 (all 3 lang) budget - 130cr theatrical rights -120 satellite &amp; others - 40cr distributor share - 150+,,0,@gkrishnan937
44,TMManiac,@gkrishnan937 Im speaking bout its WW collection bro.. ATBB..,,0,@gkrishnan937
45,TMManiac,"BO Facts about #Enthiran 1. Most profitable Tam movie 2. Only TM to hav 100cr+ Share, 100+ gross in TN, 60+ in OS #HBDSuperstarRajinikanth",#Enthiran #HBDSuperstarRajinikanth,0,
46,TMManiac,#HBDSuperstarRajinikanth ATBB records of thalaivar #Annamalai #Baasha #Padayappa #Chandramukhi #Sivaji #Endhiran,#HBDSuperstarRajinikanth #Annamalai #Baasha #Padayappa #Chandramukhi #Sivaji #Endhiran,10,
47,TMManiac,"#HBDSuperstarRajinikanth Style icon, Man of masses , Emperor of Box office holding ATBB records more than 15 years!",#HBDSuperstarRajinikanth,6,
48,TMManiac,#Eetti getting abv avg reviews from all critics (2.75/5) ! Will pick up with decent WOM !,#Eetti,0,
49,TMManiac,It's clean U for #ThangaMagan !!,#ThangaMagan,0,
50,TMManiac,#maalainerathumayakkam censored wit A ! (No cuts),#maalainerathumayakkam,1,
51,TMManiac,#Forbes India Celebrities 2015 - Tamil Dropouts A R Murugadass #Vijay #Ajith,#Forbes #Vijay #Ajith,0,
52,TMManiac,@Siva_Kartikeyan on a roll.. Joining with most wanted @jayam_mohanraja ! @Siva_fc @ActorSivaFC,,0,@Siva_Kartikeyan @jayam_mohanraja @Siva_fc @ActorSivaFC
53,TMManiac,#Thangamagan 10+ locations confirmed in Canada !,#Thangamagan,0,
54,TMManiac,#kodi : #Dhanush - #Durai - #trisha #shamlee pooja today !,#kodi #Dhanush #Durai #trisha #shamlee,0,
55,TMManiac,#Forbes India Celebrities 2015 - Tamil #61 - @shrutihaasan #69 - @superstarrajini #71 - @Suriya_offl #80 - @arya_offl #88 - @PDdancing,#Forbes,0,@shrutihaasan @Suriya_offl @arya_offl @PDdancing
56,TMManiac,#Forbes India Celebrities 2015 - Tamil #14 - @arrahman #31- @ashwinravi99 #37 - @dhanushkraja #46 - #Kamalhasan #52 - @iamsanthanam,#Forbes #Kamalhasan,0,@arrahman @ashwinravi99 @dhanushkraja @iamsanthanam
57,TMManiac,First look of Dhanush-Prabhusolomon will be launched on Pongal day with Title !,,0,
58,TMManiac,Latest Buzz is that #RajiniMurugan expected to release this Pongal .,#RajiniMurugan,0,
59,TMManiac,"@Imsuryamech @Vishnuvr13 Also Budget of 7th sense is very high ! So No ET , High Break even , Released with Velayudam all spoiled its ROI!",,0,@Imsuryamech @Vishnuvr13
60,TMManiac,"@Imsuryamech @Vishnuvr13 #I , #Vishvaroopam #YA #Puli belongs to this category ! They grossed around 100Cr and more yet not BB!!",#I #Vishvaroopam #YA #Puli,0,@Imsuryamech @Vishnuvr13
61,TMManiac,@Imsuryamech @Vishnuvr13 it grossed around 100Crs (Tam+Tel) bro but it didn't get 30% ET Waiver ! End up as Hit or else it would be a BB !!,,0,@Imsuryamech @Vishnuvr13
62,TMManiac,WW - Tamil Only - Top Grosser #Enthiran ~ 195Cr #I ~ 170Cr #Kaththi ~129Cr #Lingaa ~126Cr #Vedalam ~124Cr #AllTime3rdTopGrosserVEDALAM,#Enthiran #I #Kaththi #Lingaa #Vedalam #AllTime3rdTopGrosserVEDALAM,0,
63,TMManiac,@vennirairavukal Producer suffered because of lack of tax Exempt ! Heard It is his own release in TN !,,0,@vennirairavukal
64,TMManiac,@vennirairavukal Yes (Approx) KL - 9Cr KA - 8Cr ROI - 2,,0,@vennirairavukal
65,TMManiac,KA+KL+ROI Top Grosser (Only Tamil ) #I ~38 #Enthiran ~34 #Kaththi ~24 #Thuppakki ~21 #Lingaa / #Sivaji ~20 #Singam2 ~19 #Vedalam ~17,#I #Enthiran #Kaththi #Thuppakki #Lingaa #Sivaji #Singam2 #Vedalam,1,
66,TMManiac,#ChennaiMicro Koduma :(,#ChennaiMicro,0,
67,TMManiac,Top Tamil Grosser OS #Enthiran ~65Cr #I ~ 56Cr #Lingaa ~ 43Cr #Sivaji ~ 38Cr #Kaththi ~ 35Cr #Vedalam ~ 33Cr #AllTime3rdTopGrosserVEDALAM,#Enthiran #I #Lingaa #Sivaji #Kaththi #Vedalam #AllTime3rdTopGrosserVEDALAM,0,
68,TMManiac,#Vedalam TN Gross Wk wise Estimate Wk 1 ~50Cr Wk2 ~13Cr Wk3 ~7Cr Wk4 ~4Cr Total ~ 74Cr #AllTime3rdTopGrosserVEDALAM,#Vedalam #AllTime3rdTopGrosserVEDALAM,2,
69,TMManiac,^^^ #AllTime3rdTopGrosserVEDALAM,#AllTime3rdTopGrosserVEDALAM,0,
70,TMManiac,From Various Sources (Approx TN Gross) #Enthiran &gt;100Cr #I ~80Cr #Vedalam ~74Cr (~63cr -13d) #Thuppakki ~72Cr #Kaththi ~70Cr #Sivaji ~68Cr,#Enthiran #I #Vedalam #Thuppakki #Kaththi #Sivaji,1,
71,TMManiac,@BoxOfficeSquare Not sure !!! but it would have grossed !!,,0,@BoxOfficeSquare
72,TMManiac,@BoxOfficeSquare I think it will be in #3 .. if ur estimation of thuppakki / kaththi is less than 72 cr,,0,@BoxOfficeSquare
73,TMManiac,@BoxOfficeSquare https://twitter.com/SivaCosmo/status/670315225237708800 Already in all time top3 in kovai circle ! Chk the tweet dated nov28 ! hope handle is authentic,,0,@BoxOfficeSquare
74,TMManiac,#Thangamagan - Official Trailer https://youtu.be/1DYWEC_Rfy0 ! Liked Amy Part ! Hope Movie wont disappoint all set of audience !,#Thangamagan,0,
75,TMManiac,#Nayanthara will be the happiest person of this year ! #Thanioruvan - 100 days - BB #NRD - 50 days - S Hit #Maya - 50 Days - S Hit,#Nayanthara #Thanioruvan #NRD #Maya,11,
76,TMManiac,@e1elavarasan yes ! abv avg.. same like #I.. it didnt get ET exmp bec of U/A.. neither big gain nor big loss..,#I,0,@E1Elavarasan
77,TMManiac,@e1elavarasan High ROI - #Thanioruvan &amp; #Kanchana2 High budget BB - #Bahubali &amp; #Vedalam,#Thanioruvan #Kanchana2 #Bahubali #Vedalam,0,@E1Elavarasan
78,TMManiac,"it's gonna be a big clash among next gen heroes.. #INA , #Rajinimurugan &amp; #kathalumkadanthupogum expected to release on Feb'16!",#INA #Rajinimurugan #kathalumkadanthupogum,1,
79,TMManiac,@ramcinemas Siva - ARM movies would be my pick !,,0,@RamCinemas
80,TMManiac,#Eetti - 200th Tamil movie of this yr releasing on wk 50 !! on an avg 4 movies releasing every week !,#Eetti,0,
81,TMManiac,#16YearsOfSethu - Benchmark movie from Dir Bala &amp; Vikram !,#16YearsOfSethu,4,
